# Gallery Image URLs for samthegeek.net
# Format: GALLERY_NAME|IMAGE_URL
# Total: 338 images across 7 galleries

# COPENHAGEN (35 images)
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408460484-N8QN6AB0DIDH9DDYZM25/DSCF1055.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408462507-J6F5GEL43OTTNRRRZMA1/DSCF0879.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408464272-F81RF6TZU73KFZ58HIEY/DSCF1085.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408467085-IY0BQXO339XHUHXYPVJ1/DSCF1080.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408468611-V8IWKUTHKIXE6EDT5D10/DSCF1484.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408471476-JSJMETDQ7AXZVRSN5WBN/DSCF1600.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408474513-73PY8P8ZXCCCIHD3QQXA/DSCF1736.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408476555-8T9IRHV3VSIEBESE71Z2/DSCF0951.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408480309-8EW2S6RK4VCGM389UUZD/DSCF1360.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408482690-6E60PSBQCUZFRXBPGO01/DSCF1510.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408483887-B47X9I2NCHPIKTKOCRIZ/DSCF1002.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408485930-FLISSIYY3H7CZOGKGIGX/DSCF0844.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408488583-HOLXAMUC0S0BQE9ZO6WP/DSCF0867.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408490664-DDJD3B35ZEHYNEVY35M9/DSCF0888.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408492418-FYVIFWRHA40IAWR5A8LS/IMG_2633.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1605408496799-E6OYWQUFNLHLE6ZR60EO/2FC47DE0-C183-434E-949E-BE6CA12C3E2B.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006686032-3V9UF0NCH3005IXNTL47/DSCF2483.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006688645-HJKSZX9T6B6RU6V7KL06/DSCF2490.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006721660-CAVH9IJZ3WYYEN0GDLMK/DSCF2524.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006696514-XJT0C2SP2GY0J0WTLP6M/DSCF2541.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006730076-0XHPXZD5FIDWIYQ8UO1F/DSCF2547.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006750652-IRX2IME8HFDT2L7R4W77/DSCF2555.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006806001-HH16WSXQ0XV72D5UW8YT/DSCF2610.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006787226-2OLDXLAQSNMRI11YOO4T/DSCF2614.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006819225-YYRIOSN23NBMPJWB0NCS/DSCF2627.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006824609-R7XEFZH8CK1Z4KPG6507/DSCF2630.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006827198-0K6NTAHL9PHWFGK1K9BS/DSCF2635.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006845989-W4H3ZM0XWTHAMGAC2R5E/DSCF2642.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006848694-7O22724JNZ9GNLZYD5QU/DSCF2644.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006871854-XL9ZV2NEP8ODZ3WE5NDK/DSCF2652.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006862358-2KVPYHEF03ANJXHJ9CTI/DSCF2673.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006879037-1U6H3WF6BORBFPA12XE6/DSCF2674.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006879035-ZDF0IS3FSHT9657EP37W/DSCF2691.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006881057-ZX5CDQNAFK5R23ONVXPF/DSCF2765.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006900419-B6V2CM8GWZ3ZBFC2SZ90/DSCF2862.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006894822-T127KXGBVZJGURANS6XK/DSCF2881.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006904100-I3318L7OTSDTHX9V7OZT/DSCF2929.jpeg
italy|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1656006909349-GV5IMTY1S3TMC76DDPDZ/DSCF6211.jpeg

# FRANCE (45 images)
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884216081-Y1U8Z3KI6KH5HTBTJZR1/1E34ED77-DA84-47FB-86B8-2995BB4CA783-728-000000E028CBE77E_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884633717-TK0ZSV62JUT3BS4C0944/B997A4BD-07A5-4418-81B4-707DFE756B10-734-000000E08AE8E667_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884213290-W81E9AMXCMWYQPYK15RL/1E1253CF-8F5D-431C-9E39-15988014DAA1-2512-000009EF57963C16_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884240574-EZWPJH5XPOVLPX0SGBK3/1FA264F4-0380-42FE-A4D9-4B21416729FC-266-00000082C75ECD1D_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884241830-958H5LD8XXZMW8OEJZNF/2A09AE7D-BBA3-4BAE-BA37-32A8098F21D0-266-0000008287C835C2_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884275113-ERHJJSQR5K3QFILH01MF/2C7147CF-DB55-4C48-9C5D-8B557D9BCBD6-266-00000082C0859540_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884272934-MD9GM3K61F9D8OCTGNGQ/3BC9B9ED-62F6-4E0F-ADAE-AD5DEED59616-2512-000009EE976F6809_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884305900-OB53LIQD2UC43QYX9PST/4B861574-321A-42D3-9EF9-2398A6D60E7F-266-00000082D9EB82E8_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884310043-ZPVP8FPX0L2CUFP8ABNM/6B173027-0626-441F-A3F6-D5C3DFC70670-2512-000009EEC07EC8AF_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884680205-6HIN2SHVF94O9DMFQ8NC/6E952CFB-A4C3-43B0-97F2-5ED9181B1918-2512-000009EF75D2D8B6_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884351528-MOWTE2PTBWWUEE9CD4YA/6F64A9E0-CE49-4422-9F19-3AEA6F677EDE-2512-000009EECB4F8210_photo.jpg
france|https://images.squarespace-cdn.com/content/v1/510ddd65e4b0837c157bd8f3/1552884371364-5FBYBH1B2T8CNB3W1PCM/8DC6F2F3-C632-4946-9143-3B4281ECD7D5-2512-000009EE30BDF584_photo.jpg
